Date,Open,High,Low,Close,Adj Close,Volume
01/11/2013,74.860001,74.971428,73.691429,74.290001,60.658089,68722500
04/11/2013,74.442856,75.260002,74.115715,75.25,61.441933,61156900
05/11/2013,74.940002,75.555717,74.714287,75.064285,61.290287,66303300
06/11/2013,74.878571,74.980003,74.028572,74.417145,63.335331,55843900
07/11/2013,74.225716,74.741432,73.197144,73.21286,62.310387,65655100
08/11/2013,73.511429,74.447144,73.227142,74.365715,63.291553,69829200
11/11/2013,74.284286,74.524284,73.487144,74.150002,63.10796,56863100
12/11/2013,73.952858,74.845711,73.85714,74.28714,63.224682,51069200
13/11/2013,74,74.60714,73.851425,74.375717,63.300076,49305200
14/11/2013,74.687141,75.611427,74.552856,75.451431,64.215599,70604800
15/11/2013,75.225716,75.584282,74.927139,74.998573,63.830181,79480100
18/11/2013,74.998573,75.312859,74.028572,74.089996,63.056896,61236000
19/11/2013,74.147141,74.76857,73.995712,74.221428,63.168758,52234700
20/11/2013,74.175713,74.345711,73.475716,73.571426,62.615551,48479200
21/11/2013,73.942856,74.458572,73.381432,74.44857,63.362068,65506700
22/11/2013,74.21714,74.594284,74.075714,74.257141,63.19915,55931400
25/11/2013,74.431427,75.124283,74.428574,74.82,63.678181,57327900
26/11/2013,74.874283,76.591431,74.85714,76.199997,64.852692,100345700
27/11/2013,76.615715,78,76.199997,77.994286,66.379784,90862100
29/11/2013,78.497147,79.761429,78.258568,79.438568,67.608986,79531900
02/12/2013,79.714287,80.618568,78.688568,78.747147,67.020531,118136200
03/12/2013,79.757141,80.91143,79.668571,80.902855,68.855217,112742000
04/12/2013,80.785713,81.312859,80.117142,80.714287,68.694733,94452400
05/12/2013,81.807144,82.162857,80.915718,81.128571,69.047333,111895000
06/12/2013,80.827141,80.964287,79.938568,80.002853,68.089241,86088100
09/12/2013,80.128571,81.368568,80.128571,80.918571,68.868599,80123400
10/12/2013,80.511429,81.125717,80.171425,80.792854,68.761612,69567400
11/12/2013,81,81.567146,79.955711,80.194283,68.252151,89929700
12/12/2013,80.305717,80.762856,80.004288,80.077141,68.152473,65572500
13/12/2013,80.407143,80.41143,79.095711,79.204285,67.409607,83205500
16/12/2013,79.288574,80.377144,79.28714,79.64286,67.782852,70648200
17/12/2013,79.401428,79.919998,79.054283,79.284286,67.477669,57475600
18/12/2013,78.528572,78.778572,76.971428,78.681427,66.9646,141465800
19/12/2013,78.5,78.571426,77.675713,77.779999,66.19738,80077200
20/12/2013,77.918571,78.80143,77.831429,78.431427,66.751823,109103400
23/12/2013,81.14286,81.531425,80.394287,81.441429,69.313591,125326600
24/12/2013,81.412857,81.697144,80.861427,81.095711,69.019356,41888700
26/12/2013,81.157143,81.35714,80.482857,80.557144,68.560997,51002000
27/12/2013,80.545715,80.629997,79.928574,80.012856,68.097748,56471100
30/12/2013,79.637146,80.012856,78.902855,79.21714,67.420517,63407400
31/12/2013,79.167145,80.182854,79.14286,80.145714,68.210831,55771100
02/01/2014,79.382858,79.575714,78.860001,79.01857,67.251503,58671200
03/01/2014,78.980003,79.099998,77.204285,77.28286,65.7743,98116900
06/01/2014,76.778572,78.114288,76.228569,77.704285,66.132957,103152700
07/01/2014,77.760002,77.994286,76.845711,77.148575,65.660004,79302300
08/01/2014,76.972855,77.937141,76.955711,77.637146,66.075813,64632400
09/01/2014,78.114288,78.122856,76.478569,76.645714,65.232025,69787200
10/01/2014,77.118568,77.257141,75.872856,76.134285,64.796753,76244000
13/01/2014,75.701431,77.5,75.697144,76.53286,65.135979,94623200
14/01/2014,76.888573,78.104286,76.808571,78.055717,66.43206,83140400
15/01/2014,79.074287,80.028572,78.808571,79.622856,67.765808,97909700
16/01/2014,79.271431,79.550003,78.811432,79.178574,67.387703,57319500
17/01/2014,78.78286,78.867142,77.128571,77.238571,65.736603,106684900
21/01/2014,77.284286,78.581429,77.202858,78.438568,66.757919,82131700
22/01/2014,78.701431,79.612854,78.258568,78.78714,67.054565,94996300
23/01/2014,78.562859,79.5,77.830002,79.454285,67.622375,100809800
24/01/2014,79.14286,79.374283,77.821426,78.010002,66.393143,107338700
27/01/2014,78.581429,79.257141,77.964287,78.64286,66.931786,138719700
28/01/2014,72.68,73.571426,71.724289,72.35714,61.582092,266380800
29/01/2014,71.992859,72.48143,71.23143,71.535713,60.88298,125702500
30/01/2014,71.791428,72.35714,70.957146,71.397141,60.765038,169625400
31/01/2014,70.739998,71.647141,70.507141,71.514282,60.864742,116199300
03/02/2014,71.80143,72.53286,71.328575,71.647141,60.977806,100366000
04/02/2014,72.264282,72.779999,71.822861,72.684288,61.860519,94170300
05/02/2014,72.365715,73.611427,72.321426,73.227142,62.322529,82086200
06/02/2014,72.865715,73.35714,72.544289,73.215714,65.021019,64441300
07/02/2014,74.482857,74.704285,73.91143,74.239998,65.930649,92570100
10/02/2014,74.094284,75.998573,74,75.57,67.111786,86389800
11/02/2014,75.80143,76.821426,75.64286,76.565712,67.996056,70564200
12/02/2014,76.707146,77.080002,76.177139,76.559998,67.99099,77025200
13/02/2014,76.379997,77.835716,76.314285,77.775711,69.070618,76849500
14/02/2014,77.495712,77.997147,77.315712,77.71286,69.014824,68231100
18/02/2014,78,78.741432,77.944283,77.998573,69.268555,65062900
19/02/2014,77.821426,78.127144,76.335716,76.767143,68.174957,78442000
20/02/2014,76.141426,76.714287,75.571426,75.878571,67.385818,76464500
21/02/2014,76.112854,76.367142,74.942856,75.035713,66.637291,69696200
24/02/2014,74.735718,75.702858,74.631432,75.364288,66.929108,72227400
25/02/2014,75.625717,75.652855,74.428574,74.580002,66.232597,57988000
26/02/2014,74.80143,75,73.657143,73.907143,65.63504,69054300
27/02/2014,73.877144,75.540001,73.721428,75.381432,66.944336,75470500
28/02/2014,75.582855,76.10714,74.58857,75.177139,66.762894,92992200
03/03/2014,74.774284,75.807144,74.687141,75.394287,66.955742,59695300
04/03/2014,75.85714,76.091431,75.395714,75.891426,67.39724,64785000
05/03/2014,75.845711,76.39286,75.589996,76.05143,67.53933,50015700
06/03/2014,76.112854,76.348572,75.442856,75.821426,67.335083,46372200
07/03/2014,75.870003,75.997147,75.150002,75.777145,67.295746,55182400
10/03/2014,75.480003,76.190002,75.477142,75.845711,67.356644,44646000
11/03/2014,76.492859,76.96286,76.084282,76.584282,68.012543,69806100
12/03/2014,76.358574,76.764282,76,76.658569,68.078506,49831600
13/03/2014,76.777145,77.094284,75.594284,75.807144,67.322395,64435700
14/03/2014,75.541428,75.841431,74.714287,74.955711,66.566254,59299800
17/03/2014,75.385712,75.709999,75.121429,75.248573,66.826332,49886200
18/03/2014,75.128571,75.995712,75.028572,75.914284,67.417549,52411800
19/03/2014,76.03714,76.605713,75.571426,75.894287,67.399796,56189000
20/03/2014,75.69857,76.095711,75.335716,75.528572,67.075005,52099600
21/03/2014,75.989998,76.25,75.190002,76.124283,67.604012,93511600
24/03/2014,76.917145,77.214287,76.437141,77.027145,68.405846,88925200
25/03/2014,77.35714,77.964287,77.084282,77.855713,69.14167,70573300
26/03/2014,78.074287,78.428574,76.980003,77.111427,68.48069,74942000
27/03/2014,77.145714,77.35714,76.445717,76.779999,68.186356,55507900
28/03/2014,76.902855,76.991432,76.321426,76.694283,68.110252,50141000
31/03/2014,77.03286,77.258568,76.561432,76.677139,68.095001,42167300
01/04/2014,76.822861,77.410004,76.681427,77.378571,68.717934,50190000
02/04/2014,77.482857,77.639999,77.18,77.507141,68.832115,45105200
03/04/2014,77.341431,77.5,76.805717,76.970001,68.35511,40586000
04/04/2014,77.115715,77.14286,75.797142,75.974289,67.470833,68812800
07/04/2014,75.431427,75.842857,74.555717,74.781425,66.411484,72462600
